قد	لقد
قضية	قضيتنا
أخذ	سآخذه
ساعد	سيساعدنا
تضحي	تضحية
اسم	باسمك
بتاتا	بتاتاً
مثل	ومثل
مباشر	مباشره
ظريف	ظريفة
متابعة	المتابعة
روح	روحها
عسى	عساه
أبان	أبانا
مائي	المائية
نظيف	نظيفاً
شعب	شعبك
غدا	وغداً
حربي	الحربية
شركة	بشركة
تم	ويتم
أمر	امرا
عجيبة	العجائب
أي	أياه
حدث	الاحداث
طويل	طويلًا
هاوية	الهاوية
شك	يشك
احضر	احضروا
استجواب	الاستجواب
جعل	لنجعل
في	فيكِ
وقت	بوقتٍ
حبيب	الحبيبة
ماضي	ماضيك
عن	عَنْ
مستطاع	المستطاع
وضع	أضعها
تحرك	تتحركوا
قتل	لقتلي
صديق	لصديق
خبير	الخبير
ندم	أندم
أشك	اشك
حديقة	الحدائق
هدية	كهدية
مدرسة	مدرستي
سمع	تسمعه
بكاء	بالبكاء
إيل	إيلا
ورل	لورل
تحويل	بتحويل
أصاب	أصابك
إبن	إبنته
يد	يديّ
مذ	مذا
عمل	عملوا
أصبح	يصبحوا
تناقش	نتناقش
وسيم	وسيماً
تفصيل	بالتفاصيل
تدرب	تدربت
صمت	تصمت
شهر	الشهور
حوى	تحوي
رأس	راسك
قدم	قدموا
عدد	عدداً
عمة	عمتك
قضية	قضيتها
متاع	الأمتعة
حاول	وحاولت
سري	سرّي
اختبار	اختبارات
ماس	ماسة
ذكري	الذكري
حمل	تحملها
حب	حبنا
ذهاب	ذهابك
تكليف	التكاليف
دق	تدق
عدالة	للعدالة
مفاوضة	المفاوضات
طريق	الطّريق
تعال	تعالَ
رأى	ترينت
فلت	يفلت
أنا	وأنـا
جمع	الجمع
حكومي	حكومية
روي	بروية
أصبح	تُصبح
إسعاف	الاسعاف
سرعه	السرعه
جثة	جثّة
خدم	يخدم
استعد	نستعد
تحميل	التحميل
استخدم	يستخدمه
نبض	ينبض
جعل	جعلهم
خبير	الخبراء
خبير	خبراء
أمكن	أمكننا
خاص	خاصّ
تحدث	ونتحدث
بئر	البئر
أصغر	اصغر
مقتل	بمقتل
حامل	حاملة
قتل	يقتلها
قرر	قرروا
أشرق	تشرق
استخدم	يستخدمها
أحضر	سنحضر
جاهز	جاهزا
أذى	بأذى
سيطره	السيطره
جعل	تجعلهم
دم	بدم
أقصى	الأقصى
فتاة	والفتيات
ثالثه	الثالثه
إمبراطور	الامبراطور
تراجع	يتراجع
جاء	جئتِ
تقرير	تقريراً
مجرم	مجرمين
رحب	رحبوا
ذاهب	ذاهبان
ايدج	بايدج
أحد	لاحد
قطع	قطعنا
قاتل	قاتلت
استمري	استمريت
عقد	العقود
أنتما	وأنتما
طعام	الأطعمة
سخاف	سخافة
حظ	حظّ
انضمم	انضممت
حصل	يَحْصلُ
أقطع	سأقطع
ساعد	ليساعدني
موقد	الموقد
جوع	جوعا
أن	لأنّنا
عملة	العملات
إلفيس	الفيس
غش	الغش
مساعدة	مساعدتهم
بذل	بذلت
مئة	المائة
قام	وسأقوم
شيء	شيءاً
نقل	نقلت
غير	غيّرت
فحص	فحصت
سترة	سترتك
استعاد	أستعيد
خوف	للخوف
فكر	فكّرتُ
نص	نصية
كير	كيري
تمويل	التمويل
مليار	مليارات
عقوبة	العقوبة
أعاد	أعيدي
سوي	ليسو
وزن	وزنه
كون	بكوني
يدوي	اليدوية
شعر	ستشعرين
فائت	الفائت
عند	عندكِ
عرض	عرضنا
سيلونز	السيلونز
جوع	بالجوع
قتل	بقتلها
أم	امه
حق	حقي
تسجيل	التسجيلات
متزوج	متزوجان
أخذ	سآخذها
مرحبا	مرحبـا
إحضار	بإحضار
وجد	النجده
لحظة	للحظات
حلم	يحلم
رفع	لرفع
أبقي	سأبقي
نقال	النقال
توقع	أتوقّع
أمام	أمامها
قام	وأقوم
مات	تموتين
أرنب	الأرانب
وسع	بوسعكِ
عالق	عالقون
راهن	تراهن
خنجر	الخنجر
مستنقع	المستنقع
طبل	الطبول
بالغ	بالغت
سمين	السمينة
عاجل	عاجلة
جاسوس	الجاسوس
استعد	يستعد
لدى	ولديهم
أظهر	نظهر
شرطة	والشرطة
ثقيل	الثقيل
لدى	لديَ
مهجور	مهجورة
كان	وكن
اعتمد	نعتمد
سجن	السجون
متفجر	متفجرات
أخبر	أخبرتكَ
زوجي	الزوجية
وجد	وجدوه
اشمئزاز	للاشمئزاز
ود	أوَدُّ
صرف	الصرف
جلالة	جلالته
مجدد	مُجددًا
نزل	ننزل
منع	يمنعني
سلام	السلامه
قيمة	قيمته
جاء	جاؤوا
ست	لستة
طلق	الطلق
ممارسة	بممارسة
ألماس	الألماس
شيء	شيئان
شخص	أشخاصاً
مصل	المصل
محقق	المُحققة
دراسة	الدراسات
أرسل	يرسلون
كيميائي	كيميائية
رقص	بالرقص
أند	آند
سبب	سببا
نادل	النادلة
قوي	قويّ
همهمة	همهمات
أخمن	أخمّن
إحصل	إحصلْ
طلب	طلبتها
فهم	يفهمون
ميتشل	ميتشيل
فرار	بالفرار
أطلق	يُطلق
تهوية	التهوية
تحسن	تحسنت
جلوس	للجلوس
راحة	راحتك
وصية	الوصية
جلب	سيجلب
مجيء	لمجيئك
بداية	كبداية
فضلة	فضلات
مار	مارا
إضافة	إضافةً
جعل	جعلي
أن	بأَنْك
اعتقاد	الاعتقاد
ارتكب	يرتكب
ست	لستي
استخدم	تستخدمه
صديق	أصدقائها
رعد	الرعد
بالى	تبالي
سين	السينية
اكترث	تكترث
هيت	هيتي
دوار	بالدوار
دم	الدمّ
خسر	ستخسر
تحقيق	بالتحقيق
رسم	أرسم
توقيع	توقيعك
ثنائي	الثنائي
تحدث	تتحدثان
طريقة	طريقته
ذهب	سيذهبون
طائره	الطائره
مثير	مثيره
مصاب	مصاباً
فاكهة	الفواكه
محمي	محمية
خاص	الخاصّ
نهاي	نهايه
كريم	الكريمة
سترة	سترتي
صرخ	يصرخون
أرض	أرضا
اتصل	سيتصل
أصغر	الصغرى
أحب	يحبونك
إحداثي	الإحداثيات
غاضب	غاضبه
وصول	وصولنا
عضو	عضواً
أمر	الاوامر
مكان	والمكان
شركة	شركتنا
رئيسي	رئيسية
شخص	شخصِ
صحيح	صحيـح
وقود	بالوقود
مجموعة	لمجموعة
مباراة	المباريات
كان	كانتْ
شرب	سأشرب
على	وعليه
انتبه	تنتبه
أتى	أتيتم
عابر	عابرة
دم	دمها
إيقاف	إيقافها
رأى	أراكَ
هوية	هويتي
سباحة	للسباحة
بذل	سأبذل
رساله	الرساله
نصف	لنصف
قليل	قليله
قاسي	قاسٍ
لدى	لدينـا
أمر	أمورك
ألغى	ألغيت
منتج	منتجات
عائلة	عائلتكِ
قوم	قومك
حصل	وأحصل
بين	بينه
عرف	يعرفك
أشار	أشير
شيطان	شياطين
هدية	هديتي
تأخر	يتأخر
قبل	تقبلين
استحق	يستحقّ
مظهر	بمظهر
ذعر	بالذعر
فكر	الفكر
إرب	إرباً
إقتراب	الإقتراب
خلق	يخلق
استمع	تستمعين
قناص	القناص
نال	نالت
وصف	وصفه
لحظة	بلحظة
حديث	حديثك
أحب	تحبون
عرف	نعرفها
قرد	القردة
غالب	غالبًا
نعم	نعــم
معنى	معناها
أتى	تأتِ
حمل	حملها
تغير	تغيّرت
أفاد	تفيد
خط	خطا
طارد	يطارد
إنذار	الانذار
فاسد	فاسدة
عن	عنيّ
قانون	بالقانون
أصبح	ستصبحين
قل	وقل
رجل	الرجـل
قال	سيقولون
ركز	ركزي
قلبي	القلبية
ذهاب	ذهابي
أنس	أنسي
فضائي	الفضائيين
مرشح	المرشح
اجتماع	الاجتماعات
سفاح	السفاح
بطل	بطلي
عدة	وعدتك
عرف	أعرفكِ
إصبع	أصابعي
شهر	لشهر
مشكلة	مشكلتنا
كل	وكلما
أبله	البلهاء
ظهر	ظهراً
أوك	اوك
معلم	المعلمين
فاز	سيفوز
قرب	القرب
ها	هاكِ
لكن	لكنّكِ
قدم	القدمين
مال	والمال
آذى	يؤذيك
دور	دورا
سمح	سأسمح
راي	فراي
أصحاب	اصحاب
أقل	الأقلّ
انطلق	ننطلق
خبر	أخباري
ذيل	الذيل
ود	يودّ
احتمال	احتمالات
حقق	أحقق
رجل	لرجال
مشروع	مشاريع
انضم	ينضم
مبلغ	بمبلغ
إذ	اذ
إنقاذ	إنقاذها
عربة	عربات
فشل	فشلنا
دقيق	الدقيق
وزن	وزنك
ذهن	الذهن
مؤخرة	مؤخرتها
بخار	البخار
خجول	خجولة
ساعة	السّاعة
عن	عنهُ
طفل	والطفل
تألم	تتألم
تصرف	يتصرفون
أمسك	أمسكي
تحتم	يتحتّم
نقض	سنقضي
يدوي	يدوية
مات	ومات
جلس	أجلسي
ثمين	الثمين
أرض	أراضي
أحس	تحس
رجل	رجالاً
محامي	محامياً
مؤقت	المؤقت
تقييم	التقييم
أراد	أراده
ألم	آلام
أكمل	تكمل
آخر	أواخر
حصل	حصلتم
شديد	الشديدة
رسم	الرسومات
إفطار	الافطار
عمل	عملكم
خمس	لخمسة
جعل	وجعل
هدف	هدفه
سمع	وسمعت
ساء	ساءت
كتب	كتبه
ألم	بألم
لا	بلاي
الا	لالا
إن	بإنك
ذال	بذالك
أراد	أردتها
زوج	زوجان
أعتد	أعتدت
مكالمة	مكالمتك
قريب	قريبي
خير	بخيرُ
إستفاد	الإستفادة
خسارة	خسارتك
احساس	الاحساس
انتظر	تنتظره
خليوي	الخليوي
ماء	للماء
استخدم	تستخدمها
شاذ	شاذاً
فعل	لتفعله
فئة	الفئة
ثلاثي	الثلاثي
ربط	تربط
عقار	العقاقير
كفالة	الكفالة
إناث	الإناث
بحث	ابحثي
تدمير	التدمير
خيبة	بخيبة
فتح	فتحها
أضاف	بالأضافة
فوق	فوقه
تمهل	تمهلوا
هاجم	تهاجم
غير	يغيّر
عاصفة	العواصف
نازي	النازيين
فطر	الفطر
أكثر	أكثـر
جاف	الجاف
سيارة	للسيارات
ساعد	ساعده
جل	جلّ
اشترى	اشتريتها
مانع	المانع
أين	فأين
مقدد	المقدد
سوبر	السوبر
خمن	خمني
حشا	وحشاً
تفجير	بتفجير
رد	ردود
خيط	الخيوط
أليف	الأليفة
أبقى	يبقوا
خيار	خيارك
عجب	عجبًا
سلاح	اسلحة
أب	أباه
محترم	المحترمون
إن	إنَّهُ
كره	يكرهون
تقابل	سنتقابل
شريحة	الشريحة
مضطر	مضطرين
مختلف	مختلفان
عاطفة	العواطف
أحب	أحببتُ
جسدي	جسدياً
قبل	قبلَ
نفع	تنفع
خطئ	خطئاً
صداقة	صداقات
لا	وبلا
دوام	بدوام
عامل	العاملة
ارتاح	أرتاح
أجاد	يجيد
مورفين	المورفين
أخذ	وأخذت
أذهب	ليذهب
كون	بكونك
عقرب	العقرب
راقب	نراقب
أحب	وأحب
تابع	أتابع
محترف	المحترفين
قادر	القادر
صلى	يصلون
حفيد	حفيدي
خط	الخطه
نشر	نشرت
خلف	خلفهم
نظر	وأنظر
بذل	أبذل
رأس	رؤوسنا
أوقف	أوقفي
لسان	لساني
أخفى	أخفي
محقق	المُحقق
مرئي	مرئية
وعد	وعداً
فهم	أَفْهمُ
جواؤلد	الجواؤلد
نفس	انفسهم
الن	كالن
غرق	يغرق
وحيد	وحيده
كدمة	الكدمات
وجد	ويوجد
أكسب	يكسب
جهز	تجهز
عائلة	لعائلتي
تردد	تتردد
ديكى	لديكى
أقرب	أقارب
اصدق	اصدقك
جعل	تجعلين
فندق	بالفندق
متواجد	متواجداً
أعلن	أعلنت
عمل	بالأعمال
ترتيب	الترتيبات
أغلق	سأغلق
حراري	الحراري
إطلاق	إطلاقا
استمر	استمرت
قال	فقال
جعل	بجعل
افترق	نفترق
عند	عِندما
اتخاذ	لاتخاذ
لقاء	لقائك
إيا	إيّاها
هال	هالي
نافذة	نوافذ
سمع	سمعوا
فراول	الفراولة
نفس	أنفاسك
فخر	الفخر
تعلم	تعلمان
ورث	نورث
أخذ	أخذني
دق	يدق
احتاج	احتاجه
صدر	صدرها
مع	معيّ
نرى	نري
اأن	باأن
جانبي	الجانبي
أمنح	أمنحك
اخبر	اخبرتها
كان	فكان
أزعج	أزعجك
أصبح	تُصبحُ
استجاب	تستجيب
لغة	بلغة
زيارة	زيارتك
رئيس	رئيساً
عمق	العمق
أن	أنّكما
مسلح	مسلحين
متأكد	متأكّدُ
شاهد	يشاهدون
تابل	التوابل
ترك	ستترك
ثلج	الثلوج
زال	زِلتَ
مضاد	المضاد
تابوت	التابوت
دور	الأدوار
أنقذ	أنقذنا
هجوم	بالهجوم
اتصل	تتصلين
أمر	أوامرك
إدوارد	ادوارد
أمر	أمرهم
وقت	لوقتٍ
ذباب	الذباب
رئيس	رئيسه
أسعد	تسعدني
محامي	محاميه
قبض	قبضوا
التقى	يلتقي
قول	بقولك
مسبق	مسبقًا
دام	تدوم
صنع	الصنع
أماكن	اماكن
إحكام	بإحكام
أخ	إخوة
ودي	وودي
سيئ	السيئين
شفى	شفاه
احتاج	تحتاجي
مصعد	ُ
جنى	مصعد
توب	تجني
معالج	توب
سنتولى	المعالج
عود	سنتولى
أذهب	عودتنا
ضمان	وأذهب
نظام	الضمان
وعى	بنظام
عاصمة	تعي
فيما	عاصمة
تحرك	فيمَ
منزلي	يتحركون
شرح	منزلية
إن	الشرح
أريكة	إنّهما
حماية	أريكِ
مركز	للحماية
جاسوس	المركزة
زال	الجواسيس
بيض	زِلتُ
تمكن	البيضة
مسافة	سنتمكن
شرف	لمسافة
قبلا	بشرف
خطيب	قبلًا
آخر	خطيبي
راوند	آخراً
احتمالية	وترى
مأمن	احتمالية
ماتزال	مأمن
هائل	ماتزال
أسبق	الهائلة
تحول	أسبق
خضرة	تحوّل
سأستمر	الخضروات
آل	سأستمر
اهرب	آلين
خجول	اهربوا
اتخذ	خجول
أقرب	يتخذ
أحب	الأقرب
جميل	أَحبُّك
اصعدي	الجميله
واسط	اصعدي
تحقيق	بواسطه
غيابي	تحقيقات
أراد	غيابي
كتاب	يريدوا
أبيك	كتابه
أختر	أبيكِ
تعلم	أخترت
عابد	تعلّم
سن	عابد
معرف	بالسن
بلاستيك	معرفه
وقت	البلاستيك
ترك	والوقت
نظف	نتركه
أوب	نظف
إجعل	أوبا
سكارليت	إجعل
معذره	سكارليت
سايروس	المعذره
سوريا	سايروس
فعلتيها	سوريا
حقآ	فعلتيها
نفس	حقآ
هدئ	بأنفسكم
إيطالي	هدئ
استماع	الإيطالية
رحلة	والاستماع
إيجاد	لرحلة
شجرة	بإيجاد
حالى	الشجر
قطرة	الحالى
جاري	قطرات
استرجاع	جارية
توصل	استرجاع
انتقل	التوصل
تغطية	سأنتقل
فقير	بتغطية
ألين	الفقير
مرتاح	الين
زوجة	مرتاحاً
ارثر	الزوجات
ينورد	ارثر
نميمة	لينورد
ديفد	النميمة
طعم	ديفد
مهاجمة	طعمها
كل	مهاجمة
فعل	كلّنا
أتري	ستفعلها
أزعج	أتري
حقق	تزعجني
جرذ	حقق
لجوء	الجرذان
معذر	اللجوء
لكن	معذره
حوى	ولكنّك
يلو	يحوي
استطاع	ويلو
خاف	تستطعين
بدا	خفت
صيني	تبدوان
إسمى	الصينيين
جعل	إسمى
تخرج	لجعله
يافتي	تخرجت
استلم	يافتيات
آخر	استلمت
ألحق	اخرين
أبن	ألحق
حدد	أبنة
اتجه	نحدد
جبان	اتجه
عمل	الجبناء
أنكر	عَمِلتَ
خفي	أنكر
منتظم	الخفية
برجر	منتظم
أوضح	برجر
وجه	أوضحت
تحري	بوجه
أربعون	التحري
أنقذتني	الأربعين
علم	أنقذتني
أنثى	علمتِ
زهور	الأنثى
محاصر	أزهار
صعب	محاصر
لهجة	صعبه
أسطورة	لهجة
مغزى	الأساطير
كتلة	مغزى
أصم	الكتلة
اسمع	أصم
أصفر	اسمعا
فعل	صفراء
شعر	وسأفعل
هالو	أشعرُ
هائل	الهالوين
اخمن	الهائل
جلس	اخمن
عقلى	يجلسون
فعال	عقلى
بحث	فعالة
تاق	أبحاث
إجراء	أتوق
مطلق	الإجراء
ندم	مطلقًا
نتظاهر	ندم
منفصل	نتظاهر
خطيب	منفصلين
عقار	خطيبتي
امتلاك	عقارات
نعيم	امتلاك
إستعد	النعيم
نكتة	إستعدوا
جعل	النكات
متناول	سأجعله
وفر	متناول
جمعية	يوفر
اكتشف	الجمعية
منطقي	سأكتشف
تعاطف	منطقيا
أخبر	التعاطف
ترقية	أخبركَ
عذر	الترقية
أوحى	الأعذار
أنحن	يوحي
تسلل	أنحن
تقليد	تسلل
مطرق	التقاليد
بائس	مطرقة
ثقب	البائس
فتي	الثقوب
لعبة	فتية
قص	للعبة
ودع	قص
قط	تدعها
معد	قطط
مصحة	معدتك
فريق	مصحة
نافذه	كفريق
إيدن	النافذه
كلي	إيدن
شخص	لكلينا
عن	شخـص
خالص	عنة
تناول	خالص
مقعد	وتناول
حاول	مقعدك
ألبوم	ستحاول
زائد	ألبوم
شرح	الزائد
سيارتنا	يشرح
يف	سيارتنا
رابط	بيف
ماضي	الرابط
أوف	بالماضي
لعب	أوف
مدرسي	سألعب
مرتب	المدرسي
شاب	مرتب
بعث	تشيب
قبض	يبعث
اتصل	بالقبض
قائمة	سنتصل
صباح	قائمتي
تم	بالصباح
موعد	وسيتم
خرج	بموعد
فقرة	ليخرج
كي	الفقرة
كابوس	ولكي
أفكار	الكابوس
راجع	افكار
خيمة	راجعت
خمسون	الخيمة
ثعابين	الخمسين
قدم	الثعابين
ضروري	يقدمون
رواية	ضروريا
بلاء	الرواية
بطل	بلاءً
إنقاذ	بطلا
جزء	لانقاذ
احذري	جزءًا
قبض	احذري
غزو	تقبض
مؤقت	غزو
كارولينا	مؤقتاً
وضع	كارولينا
شارلوك	أضعه
أعثر	شارلوك
قضى	سأعثر
عنوان	ستقضي
مرح	عناوين
خدع	مرحا
إن	تخدع
صفة	وإنّي
ألهى	الصفات
قال	ألهى
عام	قولوا
بطاطا	الأعوام
كاليب	بطاطا
مخفي	كاليب
رب	مخفية
سول	وربّما
مسكين	سولي
سرقة	مسكينة
مخدر	للسرقة
تحدث	للمخدرات
اثنتان	والتحدث
بولندا	اثنتان
مقصد	بولندا
أصاب	مقصدي
بعض	يصيب
فرملة	بعـض
مسدس	الفرامل
إخبار	المسدسات
سمير	إخباركِ
أخذ	سمير
اقتصاد	لتأخذ
سراح	الاقتصاد
موطن	سراحها
طازج	موطن
أعجب	طازج
والي	أعجبت
أدى	والـ
فيلم	سيؤدي
دراسة	فيلما
إزعاج	للدراسة
تجلسي	لإزعاجك
حد	تجلسي
فعل	بحد
أتى	وفعلت
عثر	يأت
مستقبل	سنعثر
سابقة	بالمستقبل
نيومان	سوابق
برغر	نيومان
آنجي	برغر
شاهد	آنجي
قسيس	شاهدة
إعصار	القسيس
محقق	الإعصار
ذنب	محققة
مساعدتى	ذنبك
تتسكع	مساعدتى
قامة	تتسكع
ألي	القامة
مازال	أليه
وعى	ومازلت
مطلق	أعي
هدية	المطلق
فعل	هديّة
اضطر	ستفعلون
فرد	نضطر
إ	الأفراد
اهربي	إ
إلتهاب	اهربي
تمالك	إلتهاب
وقف	تمالك
حيوان	يقفون
تالى	للحيوانات
عم	بالتالى
أحب	العمّ
كان	تحبي
حرير	تكونَ
خام	الحرير
عميل	الخام
ثماني	عملائنا
جانب	الثمانية
علاقة	جانبنا
جاء	علاقته
افترض	جاءَ
إلتزام	تفترض
راضي	الإلتزام
سنة	راضية
غريفين	سنةً
خطبة	غريفين
فدية	خطبة
سن	الفدية
إلكتروني	بسن
مغني	إلكترونية
حلل	مغنية
محامي	حللت
ستيوي	محامٍ
كلي	ستيوي
نهاية	كليكما
روسي	للنهاية
ترك	روسية
مهبل	اتركي
ثمال	المهبل
عدى	الثمالة
دعم	عدى
فطور	تدعم
صنع	فطور
سهل	سأصنع
عالم	بسهوله
اتفاقية	عالمة
أحب	اتفاقية
عيد	أحبّه
خطة	بعيده
ابا	الخطّة
حلق	اباك
محادثة	الحلقه
مضحك	محادثتك
فتى	مُضحك
قراءة	فتىً
اذ	بقراءة
أفضل	اذاَ
توقف	أفضـل
قال	توقفِ
مصور	قالتْ
مرسيدس	المصور
وجد	مرسيدس
تام	لتجد
ورشة	التام
سأل	ورشة
علمي	يسألني
إناء	علمية
مستقل	الاوان
ميلتون	مستقلة
رغم	ميلتون
لازم	وبالرغم
هرب	لازم
فخور	بالهرب
ذاك	فخورين
توظيف	تيك
ود	توظيف
نقد	أودُ
كيب	نقدا
أنت	كيب
غاردنر	فأنتَ
أخلاقي	غاردنر
ألماني	الأخلاقية
تبين	ألماني
رأى	تبيّن
يتيم	رَأيتَ
جاري	الأيتام
تحديد	جاريت
تجديد	بتحديد
أنتم	تجديد
أخذ	نأخذها
قصة	قصته
حتف	حتفهم
لايك	بلايك
أبدي	الأبدي
أعظم	اعظم
إحترام	إحترامي
سيئ	سيئون
لون	لونه
أب	الأبّ
جامعة	بالجامعة
مثال	كمثال
نعناع	النعناع
نفقة	نفقات
أجرى	سأجري
كردنال	الكاردينال
وجد	وجدتهم
سماع	السماع
اعطي	اعطيه
طرد	طرده
تدريب	للتدريب
ل	لـه
سروال	السروال
قال	يقولها
تعاطى	تتعاطى
غضب	غضبت
إدمان	الإدمان
شرير	أشرار
فقد	فقدتها
سماع	بسماع
مكتوب	المكتوب
شهد	تشهد
غرفة	للغرفة
قزم	الأقزام
عاطفي	العاطفي
ساعدة	ساعدتك
بهجة	البهجة
ثقة	ثقتي
امتص	تمتص
نشر	تنشر
دخل	سيدخل
وعد	وعدك
دورية	الدورية
مهمة	مهام
صبي	الصبية
كاهن	الكهنة
هدأ	يهدأ
هزيمة	الهزيمة
رهن	الرهن
مغادرة	للمغادرة
ربح	ربحنا
بذر	بذور
تعرف	للتعرف
ك	كَ
طاقة	بالطاقة
مكان	مكانكم
قبعة	قبعتك
نية	النية
جعل	لجعلك
إرسال	إرسالها
ه	هـ
أغيد	غيديون
مشفى	للمشفى
شعور	شعوراً
اي	ايّ
تعرض	نتعرض
أحب	تُحب
إتصال	إتصالات
مؤنة	المؤن
رقم	رقمه
ألحق	سألحق
تحرك	التحرّك
ثور	الثيران
انتظر	تنتظري
واصل	واصلت
خاف	تخافين
فرد	الفرد
توقع	يتوقعون
وكس	لوكس
مقدم	مقدماً
مات	ماتَ
مجرد	وبمجرد
أعجب	يعجبه
متزوج	متزوجاً
فاسد	الفاسد
أحرص	احرص
صياد	الصيادين
سعر	الأسعار
استخدم	استخدمها
إصلاح	إصلاحها
جزء	كجزء
سيلي	سيليا
باحث	الباحث
انخفض	ينخفض
من	منهُ
دود	الديدان
أنس	انسَ
أمريكي	الأمريكيون
تعري	التعري
نسي	نسينا
كلا	كـلا
منشأة	المنشأة
غرابة	الغرابة
ساعة	ساعتي
كير	كيرت
أحضر	سأحضره
فهم	فهمتِ
نطالي	بنطالي
عرف	تعرفينها
شعلة	الشعلة
تواعد	تواعدين
خاض	نخوض
طبيعة	طبيعته
ترك	اتركك
حشد	الحشود
جماع	الجماع
وصل	لتصل
لعبة	بلعبة
شعر	وشعرت
ثري	الأثرياء
فتى	فتاي
إعلان	إعلانات
جعل	يَجْعلُ
صيد	لصيد
راهب	راهبة
جوار	بجوارك
تقرير	تقريرك
ساق	ساقه
غراب	الغراب
معالجة	لمعالجة
تساءل	تتساءل
فعل	بفعلها
صحفي	الصحفيين
موقع	لموقع
شاحنة	شاحنات
شقيق	شقيقه
صفة	بصفة
إزعاج	إزعاجك
قاسي	قاس
أجل	أجلهم
حمام	الحمامات
لعب	لعبنا
أن	وأنّ
ضربة	بضربة
شارك	شاركت
حكيم	الحكيم
فحص	فحوصات
صديق	صديقات
أصعد	سأصعد
تصرف	تصرفك
ملف	ملفك
أى	أىّ
أفقد	افقد
اعتقد	يَعتقدُ
فهم	فهمها
حد	حداً
مفتوح	مفتوحا
ااو	وااو
أخذ	اخذه
مرح	بالمرح
غبي	غبيه
كره	أكرهها
استعاد	تستعيد
إخراج	اخراج
علوي	العلوية
فظيع	الفظيعة
فران	فراني
إشاعة	الإشاعات
أذى	للأذى
ظل	ظلت
وصول	وصولك
غوص	الغوص
تسلل	تسللت
أي	أيهم
إفراج	الإفراج
قال	تقوليه
حامل	حاملا
مضاد	مضادة
وجد	سنجده
وقف	تقفين
تمكن	سأتمكن
صامت	صامتة
بعض	لبعضهم
مهنة	مهنتك
سمى	تسميه
تأخر	لتأخري
كمية	كميات
ممر	الممرات
شيك	الشيكات
قتل	يقتلنا
إزالة	لإزالة
معاملة	المعاملة
توصل	توصلنا
فعل	وتفعل
مشكلة	مشكلته
بنى	يبني
خرب	خربت
نصف	نصفين
حظ	حظنا
تهديد	تهديدات
غرض	لغرض
فضلة	الفضلات
أخفى	تخفيه
فاخر	فاخرة
وحيد	وحيدًا
سرعة	وبسرعة
زائف	زائفة
مناشف	المناشف
دائرة	الدوائر
لكن	لكنة
عين	الأعين
مع	معهُ
ظن	أظنُ
معادلة	المعادلة
مستقبلي	المستقبلي
قوة	قوتها
أبق	أبقِ
طار	أطير
تناول	تناولنا
إضاءة	الإضاءة
مجاني	المجانية
ترتيب	بترتيب
فكر	فكرنا
محب	محبي
اه	اها
حذر	أحذر
فكر	الافكار
قلب	بقلب
أمر	للأمور
تواصل	للتواصل
مطلق	المطلقة
مجتمع	للمجتمع
إستخدم	إستخدمت
أحضر	لنحضر
بوق	البوق
رئيس	كرئيس
غرفة	غرفةِ
درع	الدروع
لمس	تلمسه
عاري	بالعار
أبيك	ابيك
أفلام	افلام
مقاتل	مقاتلة
جحيم	كالجحيم
انتقل	انتقلنا
نحو	نحوٍ
فيدرالي	الفيدراليّة
ودي	بودي
يد	يديها
كون	لكونه
تغذية	التغذية
كان	تكونِ
طبيعة	للطبيعة
فقط	فَقَطْ
مبني	المبني
غاية	الغاية
توقف	يتوقفوا
بلد	بلدنا
أخذ	يأخذوا
جيب	جيبه
مصور	المصورة
شئ	شئٌ
سعلة	السعال
ساء	يسوء
طفل	أطفالهم
خليل	خليلي
فيدرالي	فيدرالية
إن	إنَّها
يوم	يومٌ
إتصال	للإتصال
حركة	بحركة
أرملة	الأرملة
ان	انكما
دافع	يدافع
رأى	تراك
جولي	جوليت
أعطى	أعطيكِ
خسارة	الخسائر
مغادرة	لمغادرة
عشرون	العشرون
أبلى	تبلين
أنى	بأنى
لامع	لامعة
فهم	لفهم
رقم	الارقام
نفسي	نفسياً
عنوان	عنوانه
سمى	نسميها
إغلاق	بإغلاق
عاش	عشنا
ضمان	لضمان
لا	لاتكن
إيقاف	إيقافي
خدم	خدمت
محار	المحار
كسر	لكسر
امتلك	يمتلكون
حاجز	الحواجز
دن	والدن
عطر	العطر
يد	بيديك
بذر	البذور
مكتب	مكتبها
فيدرالي	الفيدراليين
فلين	فلينت
تنهد	التنهدات
اكر	واكر
إتصال	الإتّصال
سن	أسنانه
حاجة	بِحاجةٍ
صفقة	الصفقات
أدى	أؤدي
إعلان	اعلان
حب	الحُب
زوج	زوجه
سمح	يُسمح
زيتون	الزيتون
خطيئة	الخطيئة
تعقيد	تعقيداً
عموم	عموماً
فرق	فرقاً
مدرسة	لمدرسة
شاحنة	شاحنتي
دعا	ندعوه
وسع	بوسعهم
فائت	الفائتة
قول	لقوله
ترك	تركتُ
حراري	الحرارية
أدان	ندين
كرسي	الكراسي
حيلة	الحيل
غير	غيرُ
تعلم	تعلمني
موقف	موقفي
منتهي	منتهية
لقي	يلقى
قتل	نقتله
عرف	اعرفها
بقية	بقيتنا
اضرب	اضربه
جداء	الجدوى
عنان	العنان
طبيعي	طبيعيا
جعل	نجعلها
أخاف	اخاف
عرض	عرضا
إخراج	لإخراج
جيت	جيتا
إلكتروني	الالكتروني
أنجليس	انجليس
ماء	والماء
فاخر	الفاخرة
